"ST","STATE","ST_ABBR","STCNTY","COUNTY.x","FIPS","LOCATION","AREA_SQMI","E_TOTPOP.x","M_TOTPOP.x","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP.x","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP.x","MP_NOHSDP","EP_UNINSUR.x","MP_UNINSUR","EP_AGE65.x","MP_AGE65","EP_AGE17.x","MP_AGE17","EP_DISABL.x","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG.x","MP_LIMENG","EP_MINRTY.x","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE.x","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ.x","MP_GROUPQ","EPL_POV150","EPL_UNEMP.x","EPL_HBURD","EPL_NOHSDP.x","EPL_UNINSUR.x","SPL_THEME1","RPL_THEME1","EPL_AGE65.x","EPL_AGE17.x","EPL_DISABL.x","EPL_SNGPNT","EPL_LIMENG.x","SPL_THEME2","RPL_THEME2","EPL_MINRTY.x","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE.x","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ.x","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_DAYPOP.x","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT.x","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE","Unique
Record
Serial
Number","Classification","Address","City","State","Country","Concatenated_Address","Latitude","Longitude","Facility_Type","Facility_Status","Facility_Code","V13"," Ground
Square
Feet"," Mezzanine
Square 
Feet"," Total Working
Square 
Feet","Zip","Nearest 
Major
Metro Market","Year","GEOID.x","closest_fips","STATEFP","COUNTYFP","TRACTCE","AFFGEOID","GEOID.y","NAME","COUNTY.y","StateAbbr","StateDesc","Location","E_TOTPOP.y","M_TOTPOP.y","E_DAYPOP.y","SPL_EJI","RPL_EJI","SPL_SER","RPL_SER","EPL_OZONE","EPL_PM","EPL_DSLPM","EPL_TOTCR","SPL_EBM_THEME1","RPL_EBM_DOM1","EPL_NPL","EPL_TRI","EPL_TSD","EPL_RMP","EPL_COAL","EPL_LEAD","SPL_EBM_THEME2","RPL_EBM_DOM2","EPL_PARK","EPL_HOUAGE","EPL_WLKIND","SPL_EBM_THEME3","RPL_EBM_DOM3","EPL_RAIL","EPL_ROAD","EPL_AIRPRT","SPL_EBM_THEME4","RPL_EBM_DOM4","EPL_IMPWTR","SPL_EBM_THEME5","RPL_EBM_DOM5","SPL_EBM","RPL_EBM","EPL_MINRTY.y","SPL_SVM_DOM1","RPL_SVM_DOM1","EPL_POV200","EPL_NOHSDP.y","EPL_UNEMP.y","EPL_RENTER","EPL_HOUBDN","EPL_UNINSUR.y","EPL_NOINT","SPL_SVM_DOM2","RPL_SVM_DOM2","EPL_AGE65.y","EPL_AGE17.y","EPL_DISABL.y","EPL_LIMENG.y","SPL_SVM_DOM3","RPL_SVM_DOM3","EPL_MOBILE.y","EPL_GROUPQ.y","SPL_SVM_DOM4","RPL_SVM_DOM4","SPL_SVM","RPL_SVM","F_BPHIGH","F_ASTHMA","F_CANCER","F_MHLTH","F_DIABETES","F_HVM","RPL_HVM","E_OZONE","E_PM","E_DSLPM","E_TOTCR","E_NPL","E_TRI","E_TSD","E_RMP","E_COAL","E_LEAD","E_PARK","E_HOUAGE","E_WLKIND","E_RAIL","E_ROAD","E_AIRPRT","E_IMPWTR","EP_MINRTY.y","EP_POV200","EP_NOHSDP.y","EP_UNEMP.y","EP_RENTER","EP_HOUBDN","EP_UNINSUR.y","EP_NOINT.y","EP_AGE65.y","EP_AGE17.y","EP_DISABL.y","EP_LIMENG.y","EP_MOBILE.y","EP_GROUPQ.y","EP_BPHIGH","EP_ASTHMA","EP_CANCER","EP_MHLTH","EP_DIABETES","EPL_BPHIGH","EPL_ASTHMA","EPL_CANCER","EPL_DIABETES","EPL_MHLTH"
1,"Alabama","AL",1045,"Dale County",1045021102,"Census Tract 211.02; Dale County; Alabama",8.861301904952,3876,325,2336,227,1931,228,1300,367,75,59,626,235,425,248,296,145,655,198,644,156,929,281,198,108,72,114,1642,471,142,83,358,143,43,39,162,115,26,27,33.8,9.1,4.2,3.3,32.4,11.6,14.6,8.3,8,3.9,16.9,4.8,16.6,3.6,25.1,7.5,10.2,5.5,2,3.1,42.4,11.6,6.1,3.5,15.3,5.8,2.2,1.7,8.4,5.8,0.7,0.7,0.8056,0.4522,0.719,0.7272,0.5739,3.2779,0.7364,0.5294,0.2151,0.9509,0.81,0.5928,3.0982,0.8408,0.5958,0.5958,0.5958,0.5509,0.8541,0.5567,0.6948,0.6376,3.2941,0.8885,10.266,0.8576,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4479,271,146,1157,345,205,175,85,60,23,38,0,13,172,99,0,13,14,6.9,29.9,7.9,5.3,4.5,2.2,1.6,0.6,1,0,1,4.4,2.5,0,1,3531481,"Warehouse","340 Virginia Ave","Daleville","Alabama","USA","340 Virginia Ave, Daleville, Alabama 36322",31.30067,-85.725804,"D","Existing","XAL1","X","16,800","-","16,800","36322","Anderson","2021",1045021102,1045021102,1,45,21102,"1400000US01045021102",1045021102,211.02,"Dale","AL","Alabama","Census Tract 211.02, Dale County, Alabama",4087,315,4123,2.0806,0.8456,1.2806,0.7163,0,0.6337,0.2465,0.9019,1.7821,0.4621,0,0.6284,0,0,0,0,0.6284,0.3867,1,0.3646,0.6705,2.0351,0.8362,0.5752,0.5412,0,1.1164,0.5363,0.3481,0.3481,0.3481,5.9101,0.4967,0.558,0.558,0.558,0.8195,0.7031,0.5721,0.7294,0.6009,0.9638,0.6224,5.0112,0.806,0.4578,0.2839,0.9228,0,1.6645,0.2291,0.8827,0.5527,1.4354,0.8438,8.6691,0.7839,1,1,0,1,1,4,0.8,0,9.53,0.23,42.3,0,41.56,0,0,0,0,0,49.87,7.08,52.53,60.41,0,25.88,35.2,50.1614,15.4,5.4,49.3,29.5082,24.8,20.2,15,18.9,22.2,0,18.4,0.4,40,10.7,6.5,17.9,14.7,0.8601,0.7373,0.4494,0.8456,0.8542
1,"Alabama","AL",1073,"Jefferson County",1073000800,"Census Tract 8; Jefferson County; Alabama",4.435311203616,2904,574,1975,253,1462,287,1602,497,130,85,568,242,517,182,547,227,945,252,249,125,755,291,45,51,30,63,2806,585,335,120,25,40,0,18,348,230,56,7,55.2,13.2,12.5,7,38.9,14.7,22.8,7.2,18.8,6,32.5,7.2,8.6,4.1,26,8.3,3.1,3.4,1.1,2.2,96.6,6.4,17,5.7,1.3,2,0,0.9,23.8,12.9,1.9,0.4,0.9646,0.9257,0.8373,0.8795,0.9054,4.5125,0.9829,0.9555,0.0473,0.9602,0.3056,0.4774,2.746,0.6648,0.9597,0.9597,0.9597,0.7488,0.5671,0,0.9232,0.7754,3.0145,0.8061,11.2327,0.9412,1,1,0,0,1,3,1,0,1,0,0,2,1,1,0,0,0,1,0,1,7,6082,691,276,2626,610,167,206,0,13,0,13,0,13,0,13,13,24,47.3,12.2,90.4,8.3,5.8,7.2,0,1.3,0,1.3,0,1.3,0,1.3,0.4,0.8,7068313,"Warehouse","225 Daniel Payne Drive","Hooper City","Alabama","USA","225 Daniel Payne Drive, Hooper City, Alabama 35207",33.563664,-86.83366,"D","New Not Confirmed","DBM4","D","96,770","-","96,770","35207","Birmingham","2024",1073000800,1073000800,1,73,800,"1400000US01073000800",1073000800,8,"Jefferson","AL","Alabama","Census Tract 8, Jefferson County, Alabama",3217,393,6518,2.7247,0.9944,1.9247,0.994,0.6074,0.9645,0.8541,0.9906,3.4166,0.962,0.9373,0.8233,0.9597,0.9025,0,0,3.6228,0.9951,0.3898,0.7612,0.1868,1.3378,0.2925,0.7891,0.7063,0,1.4954,0.7399,0.557,0.557,0.557,10.4296,0.9968,0.9585,0.9585,0.9585,0.9345,0.7272,0.8642,0.7011,0.9159,0.9354,0.9894,6.0677,0.9603,0.8953,0.0531,0.9909,0.2502,2.1895,0.6587,0,0.6744,0.6744,0.3833,9.8901,0.9279,1,1,0,1,1,4,0.8,1.33,11.76,0.8,56.48,3.41,96.52,24.99,52.22,0,0,99.94,82.35,13.93,100,95.02,0,57.53,96.6,63.7861,16.3,9.7,46.7,47.0358,20.8,53.2,24.5,9.9,30.6,0.3,0,0.9,57.3,12.9,6.9,18.8,25.9,0.9986,0.9511,0.5402,0.9975,0.8974
1,"Alabama","AL",1073,"Jefferson County",1073001200,"Census Tract 12; Jefferson County; Alabama",3.328003100184,2411,629,1572,369,1146,357,688,202,87,82,313,126,195,132,261,90,889,597,399,122,476,143,60,67,51,88,2037,843,18,30,0,13,0,18,48,38,9,4,30.3,3.1,9.1,8.7,27.3,7,9.8,7.1,10.8,4.6,36.9,16.5,16.5,6.1,19.7,7.3,5.2,5.6,2.2,3.7,84.5,27.1,1.1,1.9,0,2.4,0,1.1,4.2,3.5,0.4,0.1,0.7544,0.8346,0.5912,0.5599,0.7069,3.447,0.7816,0.9729,0.2108,0.8474,0.5155,0.611,3.1576,0.864,0.8729,0.8729,0.8729,0.3378,0,0,0.4601,0.5488,1.3467,0.1556,8.8242,0.6809,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3912,385,191,1983,302,0,13,51,73,0,13,0,13,3,2,0,13,33.6,15.1,82.2,19.9,0,1.5,2.1,3.1,0,1.5,0,1.5,0.1,0.1,0,1.5,6707178,"Warehouse","2501 Third Place West, Building 20","Birmingham","Alabama","USA","2501 Third Place West, Building 20, Birmingham, Alabama 35204",33.535505,-86.842519,"H","Existing","HBM3","H","46,200","-","46,200","35204","Birmingham","2021",1073001200,1073001200,1,73,1200,"1400000US01073001200",1073001200,12,"Jefferson","AL","Alabama","Census Tract 12, Jefferson County, Alabama",2464,240,3958,2.5719,0.9714,1.7719,0.9521,0.6451,0.9652,0.9184,0.9862,3.5149,0.9766,0,0.8137,0,0.9698,0,0,1.7835,0.8551,0.3853,0.8767,0.4226,1.6846,0.6029,0.7891,0.687,0,1.4761,0.7277,0.567,0.567,0.567,9.0261,0.9665,0.9969,0.9969,0.9969,0.8369,0.5106,0.908,0.6329,0.6699,0.8374,0.9851,5.3808,0.8671,0.7693,0.095,0.9406,0.6526,2.4575,0.8424,0,0,0,0,8.8352,0.8054,1,1,0,1,1,4,0.8,1.67,11.78,0.98,51.99,0,94.47,0,95.76,0,0,100,90.44,10.5,100,91.89,0,59.05,100,51.8242,10.1,11.3,40.9,32.1345,14.8,50.6,20.5,13.5,23.3,2.8,0,0,52.2,11.1,6.6,15.7,20.1,0.9902,0.8076,0.471,0.9705,0.6859
1,"Alabama","AL",1073,"Jefferson County",1073002303,"Census Tract 23.03; Jefferson County; Alabama",1.246069301212,2515,439,1542,163,936,144,1473,425,183,89,459,160,221,117,184,99,345,67,1106,314,467,186,270,117,0,52,2473,441,315,132,0,13,21,32,221,108,0,13,58.6,13.5,24.3,12.5,49,15.3,17.1,8.3,7.3,4.2,13.7,3.3,44,6.6,18.6,7.1,28.8,11.7,0,2.5,98.3,3.6,20.4,8.3,0,2.4,2.2,2.1,23.6,11.5,0,0.5,0.9744,0.9931,0.9423,0.787,0.5315,4.2283,0.9479,0.3526,0.9969,0.8108,0.9938,0,3.1541,0.8626,0.9765,0.9765,0.9765,0.7862,0,0.5567,0.9222,0,2.2651,0.4929,10.624,0.892,1,1,1,0,0,3,0,1,0,1,0,2,1,1,0,0,0,1,0,1,7,1912,282,112,2200,405,231,219,0,13,0,13,0,13,42,55,0,13,30.1,10.7,87.5,9.4,9.2,8.1,0,1.5,0,1.5,0,1.5,1.7,2.1,0,1.5,9037477,"Warehouse","7600 Crestwood Boulevard","Eastwood, Birmingham","Alabama","USA","7600 Crestwood Boulevard, Eastwood, Birmingham, Alabama 35210",33.532722,-86.723932,"D","Existing","DBM5","D","200,000","-","200,000","35210","Birmingham","2021",1073002303,1073002303,1,73,2303,"1400000US01073002303",1073002303,23.03,"Jefferson","AL","Alabama","Census Tract 23.03, Jefferson County, Alabama",3086,517,2229,2.6431,0.9836,1.8431,0.9752,0.4572,0.9616,0.7475,0.9842,3.1505,0.8924,0,0.6282,0,0,0,0,0.6282,0.3866,0.3853,0.7358,0.2667,1.3878,0.3368,0.7891,0.7666,0.9253,2.481,0.9904,0.5571,0.5571,0.5571,8.2046,0.908,0.9772,0.9772,0.9772,0.967,0.6656,0.9857,0.896,0.925,0.7234,0.9345,6.0972,0.9637,0.3569,0.9197,0.8548,0.2881,2.4195,0.8212,0.4769,0,0.4769,0.2368,9.9708,0.9351,1,1,0,1,1,4,0.8,0.67,11.64,0.63,51.08,0,41.51,0,0,0,0,100,80.37,13,100,100,13.44,57.55,98.3,70.3398,14.1,20.4,70.1,48.0234,11.3,37.8,13.3,30.6,19.4,0.4,0.6,0,50.2,13.8,5.1,22.3,21.1,0.9827,0.9752,0.1933,0.9786,0.9801
1,"Alabama","AL",1073,"Jefferson County",1073014104,"Census Tract 141.04; Jefferson County; Alabama",17.603492887312,3763,457,1601,197,1382,191,645,382,66,75,209,105,287,126,383,164,848,222,959,253,612,177,121,103,10,54,2019,662,190,145,113,86,0,18,47,45,108,3,17.7,10.2,4.9,5.4,15.1,7.3,11.7,4.9,10.5,4.4,22.5,5.1,25.5,5,16.7,4.6,8.8,7.4,0.3,1.5,53.7,16.3,11.9,8.9,7.1,5.5,0,1.1,3.4,3.2,2.9,0.4,0.473,0.5322,0.1738,0.636,0.6946,2.5096,0.5085,0.7911,0.7342,0.7332,0.7532,0.285,3.2967,0.9087,0.6864,0.6864,0.6864,0.6746,0.7465,0,0.3925,0.8365,2.6501,0.6627,9.1428,0.7244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6928,152,89,1857,587,134,165,10,22,0,13,0,13,18,50,0,13,11,6.5,49.3,11.9,3.6,4.4,0.3,0.6,0,1,0,1,0.5,1.3,0,1,8262589,"Warehouse","975 Powder Plant Road","Bessemer","Alabama","USA","975 Powder Plant Road, Bessemer, Alabama 35022-5497",33.377229,-87.005501,"F","Existing","BHM1","B","855,000","1,541,859","2,396,859","35022-5497","Birmingham","2020",1073014104,1073014104,1,73,14104,"1400000US01073014104",1073014104,141.04,"Jefferson","AL","Alabama","Census Tract 141.04, Jefferson County, Alabama",3237,569,8042,2.5089,0.9578,1.7089,0.9283,0.4572,0.9113,0.4853,0.9754,2.8292,0.7986,0,0.6425,0,0.8235,0,0,1.466,0.7397,0.7761,0.4587,0.7158,1.9506,0.7861,0.6223,0.5929,0,1.2152,0.5819,0.2254,0.2254,0.2254,7.6864,0.8431,0.7081,0.7081,0.7081,0.5442,0.6361,0.8642,0.5297,0.4801,0.482,0.8385,4.3748,0.6902,0.5982,0.6831,0.9169,0.4599,2.6581,0.928,0.7308,0.8443,1.5751,0.9147,9.3161,0.8658,1,1,0,1,1,4,0.8,0.67,10.99,0.39,48.6,0,45.37,0,20.77,0,0,7.27,57.97,6.58,64.69,72.15,0,9.7,53.8,32.1931,13.2,9.7,33.5,25.6449,6.8,29.4,17.3,24.7,21.9,1.1,6.5,3,43.2,10.6,7.3,15.6,14.7,0.9225,0.718,0.6363,0.8456,0.6768
1,"Alabama","AL",1083,"Limestone County",1083021203,"Census Tract 212.03; Limestone County; Alabama",51.602573612914,5733,901,2628,379,2332,362,575,373,125,99,279,170,94,105,79,87,427,126,1409,362,429,265,188,184,22,84,2293,1185,279,172,0,18,0,25,0,18,0,18,10,6.3,3.7,3,12,7,2.4,2.7,1.4,1.5,7.4,2.1,24.6,4.3,7.5,4.4,8.1,7.8,0.4,1.6,40,19.7,10.6,6.4,0,1.4,0,1,0,1.6,0,0.3,0.2305,0.3898,0.09,0.1202,0.0709,0.9014,0.0725,0.087,0.6858,0.1469,0.7185,0.3184,1.9566,0.2021,0.573,0.573,0.573,0.652,0,0,0,0,0.652,0.0378,4.083,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5566,216,208,1332,447,251,215,401,274,91,86,0,18,218,116,0,18,9.3,8.8,23.2,7,4.4,3.8,7,4.6,1.6,1.6,0,0.7,3.8,2,0,0.7,9519000,"Warehouse","7816 Greenbrier Rd","Madison","Alabama","USA","7816 Greenbrier Rd, Madison, Alabama 35756-4403",34.667118,-86.85069,"F","Existing","HSV1","H","1,014,750","-","1,014,750","35756-4403","Huntsville","2021",1083021203,1083021200,1,83,21200,"1400000US01083021200",1083021200,212,"Limestone","AL","Alabama","Census Tract 212, Limestone County, Alabama",14631,1020,9669,0.9223,0.3074,0.9223,0.4538,0.325,0.9075,0.4441,0.7451,2.4217,0.6844,0,0.4514,0,0.7145,0,0,1.1659,0.6505,0.6004,0.0729,0.8328,1.5061,0.4493,0.4025,0.4084,0.9005,1.7114,0.9112,0.3014,0.3014,0.3014,7.1065,0.7477,0.5526,0.5526,0.5526,0.1757,0.3162,0.5111,0.1118,0.1348,0.232,0.1811,1.6627,0.1386,0.1272,0.9238,0.4528,0.3205,1.8243,0.3429,0.5947,0,0.5947,0.3312,4.6343,0.1746,0,0,0,0,0,0,0,0.33,10.96,0.36,36.98,0,8.57,0,3.9,0,0,48.99,11.86,5.28,18.5,33.2,5.39,19.59,34.7,14.1897,6.4,4.9,11.6,16.0844,3.7,7.8,8.7,30.8,11.9,0.5,1.8,0,34.6,9.4,5.8,13,9.7,0.6552,0.3966,0.3102,0.3693,0.3852
1,"Alabama","AL",1083,"Limestone County",1083021203,"Census Tract 212.03; Limestone County; Alabama",51.602573612914,5733,901,2628,379,2332,362,575,373,125,99,279,170,94,105,79,87,427,126,1409,362,429,265,188,184,22,84,2293,1185,279,172,0,18,0,25,0,18,0,18,10,6.3,3.7,3,12,7,2.4,2.7,1.4,1.5,7.4,2.1,24.6,4.3,7.5,4.4,8.1,7.8,0.4,1.6,40,19.7,10.6,6.4,0,1.4,0,1,0,1.6,0,0.3,0.2305,0.3898,0.09,0.1202,0.0709,0.9014,0.0725,0.087,0.6858,0.1469,0.7185,0.3184,1.9566,0.2021,0.573,0.573,0.573,0.652,0,0,0,0,0.652,0.0378,4.083,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5566,216,208,1332,447,251,215,401,274,91,86,0,18,218,116,0,18,9.3,8.8,23.2,7,4.4,3.8,7,4.6,1.6,1.6,0,0.7,3.8,2,0,0.7,3659557,"Warehouse","28869 Fanning Drive NW","Madison","Alabama","USA","28869 Fanning Drive NW, Madison, Alabama 35676",34.659395,-86.808155,"F","Existing","HSV2","H","1,100,000","-","1,100,000","35676","Huntsville","2023",1083021203,1083021200,1,83,21200,"1400000US01083021200",1083021200,212,"Limestone","AL","Alabama","Census Tract 212, Limestone County, Alabama",14631,1020,9669,0.9223,0.3074,0.9223,0.4538,0.325,0.9075,0.4441,0.7451,2.4217,0.6844,0,0.4514,0,0.7145,0,0,1.1659,0.6505,0.6004,0.0729,0.8328,1.5061,0.4493,0.4025,0.4084,0.9005,1.7114,0.9112,0.3014,0.3014,0.3014,7.1065,0.7477,0.5526,0.5526,0.5526,0.1757,0.3162,0.5111,0.1118,0.1348,0.232,0.1811,1.6627,0.1386,0.1272,0.9238,0.4528,0.3205,1.8243,0.3429,0.5947,0,0.5947,0.3312,4.6343,0.1746,0,0,0,0,0,0,0,0.33,10.96,0.36,36.98,0,8.57,0,3.9,0,0,48.99,11.86,5.28,18.5,33.2,5.39,19.59,34.7,14.1897,6.4,4.9,11.6,16.0844,3.7,7.8,8.7,30.8,11.9,0.5,1.8,0,34.6,9.4,5.8,13,9.7,0.6552,0.3966,0.3102,0.3693,0.3852
1,"Alabama","AL",1097,"Mobile County",1097006904,"Census Tract 69.04; Mobile County; Alabama",4.3696128595,4260,710,1838,259,1660,253,1734,634,144,103,475,231,512,215,817,317,617,214,1062,308,688,264,148,103,47,90,805,935,293,203,613,197,36,45,79,80,0,13,41.1,13.3,8.2,5.4,28.6,13.2,18.2,6.8,19.2,6.4,14.5,4.2,24.9,6.2,16.2,6.2,8.9,6.1,1.2,2.4,18.9,21.7,15.9,10.8,33.4,9.5,2.2,2.4,4.8,4.8,0,0.3,0.8847,0.7925,0.6276,0.8096,0.9105,4.0249,0.9122,0.3961,0.7015,0.7092,0.7577,0.4936,3.0581,0.8248,0.3137,0.3137,0.3137,0.7346,0.9614,0.5567,0.5047,0,2.7574,0.7077,10.1541,0.8456,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3157,280,131,234,187,395,322,65,73,44,63,0,13,15,24,52,79,16.9,8.2,5.5,4.3,9.3,6.9,1.5,1.7,1,1.5,0,0.9,0.4,0.6,1.2,1.9,1494906,"Warehouse","6735 Trippel Road","Theodore","Alabama","USA","6735 Trippel Road, Theodore, Alabama 36582",30.555733,-88.21085,"S","Existing","MOB5/
MOB1/
MOB9/
DBM3","M","362,000","-","362,000","36582","Mobile","2017",1097006904,1097006902,1,97,6902,"1400000US01097006902",1097006902,69.02,"Mobile","AL","Alabama","Census Tract 69.02, Mobile County, Alabama",3959,404,2609,1.8382,0.7634,1.2382,0.6893,0,0.7221,0.5371,0.8597,2.1189,0.5952,0,0.641,0,0,0,0,0.641,0.395,0.5784,0.4961,0.6643,1.7388,0.6438,0,0.6385,0,0.6385,0.2382,0.5309,0.5309,0.5309,5.6681,0.4399,0.4965,0.4965,0.4965,0.7383,0.5504,0.5721,0.4442,0.4223,0.7114,0.8449,4.2836,0.6719,0.6571,0.7673,0.9622,0.2881,2.6747,0.9327,0.6873,0.6383,1.3256,0.7857,8.7804,0.7983,1,1,0,1,0,3,0.6,0,9.89,0.43,40.54,0,44.94,0,0,0,0,56.05,61.19,7.17,0,82.34,0,53.17,29.5,43.7194,11,5.4,28.2,24.0136,11,29.8,18.3,26.2,25.1,0.4,4.4,0.7,36,10.4,6.6,17,11.3,0.7232,0.6732,0.471,0.5716,0.7971
1,"Alabama","AL",1097,"Mobile County",1097006904,"Census Tract 69.04; Mobile County; Alabama",4.3696128595,4260,710,1838,259,1660,253,1734,634,144,103,475,231,512,215,817,317,617,214,1062,308,688,264,148,103,47,90,805,935,293,203,613,197,36,45,79,80,0,13,41.1,13.3,8.2,5.4,28.6,13.2,18.2,6.8,19.2,6.4,14.5,4.2,24.9,6.2,16.2,6.2,8.9,6.1,1.2,2.4,18.9,21.7,15.9,10.8,33.4,9.5,2.2,2.4,4.8,4.8,0,0.3,0.8847,0.7925,0.6276,0.8096,0.9105,4.0249,0.9122,0.3961,0.7015,0.7092,0.7577,0.4936,3.0581,0.8248,0.3137,0.3137,0.3137,0.7346,0.9614,0.5567,0.5047,0,2.7574,0.7077,10.1541,0.8456,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3157,280,131,234,187,395,322,65,73,44,63,0,13,15,24,52,79,16.9,8.2,5.5,4.3,9.3,6.9,1.5,1.7,1,1.5,0,0.9,0.4,0.6,1.2,1.9,673626,"Warehouse","6735 Trippel Road","Theodore","Alabama","USA","6735 Trippel Road, Theodore, Alabama 36582",30.555733,-88.21085,"D","Existing","DBM3","D","-","-","-","36582","Mobile","2019",1097006904,1097006902,1,97,6902,"1400000US01097006902",1097006902,69.02,"Mobile","AL","Alabama","Census Tract 69.02, Mobile County, Alabama",3959,404,2609,1.8382,0.7634,1.2382,0.6893,0,0.7221,0.5371,0.8597,2.1189,0.5952,0,0.641,0,0,0,0,0.641,0.395,0.5784,0.4961,0.6643,1.7388,0.6438,0,0.6385,0,0.6385,0.2382,0.5309,0.5309,0.5309,5.6681,0.4399,0.4965,0.4965,0.4965,0.7383,0.5504,0.5721,0.4442,0.4223,0.7114,0.8449,4.2836,0.6719,0.6571,0.7673,0.9622,0.2881,2.6747,0.9327,0.6873,0.6383,1.3256,0.7857,8.7804,0.7983,1,1,0,1,0,3,0.6,0,9.89,0.43,40.54,0,44.94,0,0,0,0,56.05,61.19,7.17,0,82.34,0,53.17,29.5,43.7194,11,5.4,28.2,24.0136,11,29.8,18.3,26.2,25.1,0.4,4.4,0.7,36,10.4,6.6,17,11.3,0.7232,0.6732,0.471,0.5716,0.7971
1,"Alabama","AL",1097,"Mobile County",1097007400,"Census Tract 74; Mobile County; Alabama",5.592497121714,2898,647,1320,179,1101,175,1506,653,40,58,522,187,65,66,322,155,450,76,817,368,324,128,156,85,4,50,1805,708,107,64,97,119,6,25,93,61,0,13,52,19.3,3.5,5.3,47.4,15.2,3.5,3.5,11.1,4.7,15.5,4.5,28.2,7.7,11.2,5.3,14.2,7.4,0.2,2.1,62.3,20.1,8.1,4.7,7.3,8.4,0.5,1.9,8.4,5.4,0,0.4,0.9528,0.3642,0.9309,0.1908,0.7187,3.1574,0.7037,0.4515,0.8481,0.3969,0.9105,0.2531,2.8601,0.7285,0.7445,0.7445,0.7445,0.601,0.7502,0.2792,0.6948,0,2.3252,0.5198,9.0872,0.7171,1,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,6084,208,104,1475,299,53,80,0,13,0,13,0,13,277,309,0,13,18.9,9.2,50.9,8.4,1.8,2.8,0,1.3,0,1.3,0,1.3,9.6,9.2,0,1.3,6808503,"Warehouse","2455 Michegan Ave","Mobile","Alabama","USA","2455 Michegan Ave, Mobile, Alabama 36615",30.644536,-88.075954,"A","Existing","KMOB","K","16,000","-","16,000","36615","Mobile","2022",1097007400,1097007400,1,97,7400,"1400000US01097007400",1097007400,74,"Mobile","AL","Alabama","Census Tract 74, Mobile County, Alabama",3064,424,6878,2.0905,0.8487,1.4905,0.8317,0,0.7517,0.7475,0.8304,2.3296,0.6595,0,0.7216,0,0.8487,0,0,1.5703,0.7771,0.5288,0.7252,0.6643,1.9183,0.7647,0.6016,0.5039,0.9924,2.0979,0.9546,0.3282,0.3282,0.3282,8.2443,0.912,0.7332,0.7332,0.7332,0.6465,0.3637,0.3157,0.6329,0.7253,0.69,0.568,3.9421,0.6006,0.5982,0.4573,0.41,0.6735,2.139,0.6172,0.496,0,0.496,0.2438,7.3103,0.5785,1,1,0,0,1,3,0.6,0,10.03,0.63,39.5,0,68.86,0,28.8,0,0,71.7,79.54,7.17,59.21,52.2,99.22,23.08,57.7,37.8264,7.2,3.5,40.9,34.521,10.5,18.5,17.3,21.5,11.3,3.1,0.7,0,43,10.7,6.7,15.1,13.4,0.919,0.7373,0.4939,0.767,0.6272
